SalesRepID,SalesRepName,Region
REP001,Ravi Ahmed,Africa
REP002,Ike Khan,UK
REP003,Noah Muller,UK
REP004,Chinwe Ahmed,UK
REP005,Sara Chen,UK
REP006,Priya Brown,Europe
REP007,Liam Chen,Africa
REP008,Ike Baker,UK
REP009,Ike Okoye,Africa
REP010,Tunde Khan,Africa
REP011,Maya Williams,Africa
REP012,Ada Ahmed,Africa
REP013,Ella Davis,Europe
REP014,Sara Nguyen,Europe
REP015,David Muller,UK
REP016,Femi Okoye,UK
REP017,Tunde Williams,Europe
REP018,Liam Khan,Europe
REP019,Ben Campbell,Africa
REP020,Hannah Lee,Africa
REP021,Ella Hughes,Europe
REP022,Kemi Garcia,Africa
REP023,Kemi Lee,Africa
REP024,David Rossi,Europe
REP025,Ada Davis,UK
REP026,Maya Campbell,Europe
REP027,Tunde Campbell,Europe
REP028,Ike Brown,Africa
REP029,Hannah Baker,Europe
REP030,Ben Hughes,Europe
REP031,Kemi Nguyen,UK
REP032,Sara Garcia,UK
REP033,Ravi Okoye,Europe
REP034,Ola Patel,Europe
REP035,Priya Lee,Africa
REP036,Ella Baker,Europe
REP037,Maya Patel,Africa
REP038,Ben Chen,Africa
REP039,Julia Singh,Africa
REP040,Noah Rossi,UK
REP041,Quinn Dubois,Europe
REP042,Julia Dubois,Europe
REP043,Ravi Nguyen,UK
REP044,Liam Smith,Europe
REP045,Chinwe Nguyen,Africa
REP046,Ben Williams,Africa
REP047,Priya Baker,UK
REP048,Ella Garcia,UK
REP049,Tunde Hughes,Africa
REP050,Ella Khan,UK
REP051,Ben Dubois,Africa
REP052,Priya Smith,Africa
REP053,Julia Lee,Europe
REP054,Kemi Ahmed,UK
REP055,Ike Williams,Africa
REP056,Priya Khan,UK
REP057,Ola Garcia,Africa
REP058,Ike Okoye,Europe
REP059,Sara Singh,Europe
REP060,Liam Campbell,UK
